,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
760,152,2,0,1,4,0
761,152,2,1,0,5,0
762,152,2,3,18,9,0
763,152,2,4,1,6,0
764,152,2,5,0,9,0
765,153,2,0,0,6,0
766,153,2,1,0,8,0
767,153,2,3,14,4,0
768,153,2,4,0,8,0
769,153,2,5,0,5,0
770,154,3,0,0,8,0
771,154,3,1,5,7,0
772,154,3,2,16,7,0
773,154,3,4,10,7,0
774,154,3,5,0,4,0
775,155,3,0,0,7,0
776,155,3,1,0,6,0
777,155,3,2,15,5,0
778,155,3,4,0,4,0
779,155,3,5,0,5,0
780,156,2,0,0,3,0
781,156,2,1,0,3,0
782,156,2,3,19,5,0
783,156,2,4,0,9,0
784,156,2,5,0,6,0
785,157,3,0,0,8,0
786,157,3,1,10,4,0
787,157,3,2,27,9,0
788,157,3,4,8,2,0
789,157,3,5,0,3,0
790,158,3,0,0,5,0
791,158,3,1,0,5,0
792,158,3,2,19,7,0
793,158,3,4,0,5,0
794,158,3,5,0,7,0
795,159,2,0,0,8,0
796,159,2,1,0,8,0
797,159,2,3,22,7,0
798,159,2,4,9,1,0
799,159,2,5,0,7,0
800,160,2,0,0,9,0
801,160,2,1,2,7,0
802,160,2,3,22,6,0
803,160,2,4,0,1,0
804,160,2,5,0,5,0
805,161,3,0,0,5,0
806,161,3,1,0,8,0
807,161,3,2,27,5,0
808,161,3,4,1,6,0
809,161,3,5,0,6,0
810,162,2,0,1,8,0
811,162,2,1,0,10,0
812,162,2,3,22,3,0
813,162,2,4,1,4,0
814,162,2,5,0,2,0
815,163,2,0,0,4,0
816,163,2,1,0,5,0
817,163,2,3,7,4,0
818,163,2,4,3,5,0
819,163,2,5,0,7,0
820,164,3,0,0,6,0
821,164,3,1,0,5,0
822,164,3,2,26,5,0
823,164,3,4,1,7,0
824,164,3,5,0,5,0
825,165,3,0,0,7,0
826,165,3,1,0,5,0
827,165,3,2,0,5,0
828,165,3,4,0,5,0
829,165,3,5,0,7,0
830,166,2,0,0,5,0
831,166,2,1,0,3,0
832,166,2,3,3,7,0
833,166,2,4,0,9,0
834,166,2,5,0,9,0
835,167,2,0,0,5,0
836,167,2,1,0,4,0
837,167,2,3,10,7,0
838,167,2,4,0,5,0
839,167,2,5,0,7,0
840,168,2,0,0,7,0
841,168,2,1,0,9,0
842,168,2,3,2,3,0
843,168,2,4,0,6,0
844,168,2,5,0,5,0
845,169,2,0,0,5,0
846,169,2,1,0,6,0
847,169,2,3,1,10,0
848,169,2,4,0,5,0
849,169,2,5,0,7,0
850,170,2,0,0,4,0
851,170,2,1,0,6,0
852,170,2,3,14,8,0
853,170,2,4,1,8,0
854,170,2,5,0,5,0
855,171,2,0,0,3,0
856,171,2,1,0,2,0
857,171,2,3,13,6,0
858,171,2,4,1,8,0
859,171,2,5,0,7,0
860,172,3,0,0,8,0
861,172,3,1,8,5,0
862,172,3,2,12,7,0
863,172,3,4,6,5,0
864,172,3,5,0,3,0
865,173,2,0,0,6,0
866,173,2,1,0,6,0
867,173,2,3,43,4,0
868,173,2,4,0,5,0
869,173,2,5,0,6,0
870,174,2,0,0,8,0
871,174,2,1,0,8,0
872,174,2,3,0,6,0
873,174,2,4,0,4,0
874,174,2,5,0,3,0
875,175,2,0,0,6,0
876,175,2,1,0,6,0
877,175,2,3,18,4,0
878,175,2,4,3,7,0
879,175,2,5,0,1,0
880,176,2,0,9,6,0
881,176,2,1,0,4,0
882,176,2,3,28,7,0
883,176,2,4,0,3,0
884,176,2,5,0,4,0
885,177,2,0,0,7,0
886,177,2,1,0,4,0
887,177,2,3,9,2,0
888,177,2,4,0,5,0
889,177,2,5,0,7,0
890,178,2,0,0,8,0
891,178,2,1,0,6,0
892,178,2,3,16,6,0
893,178,2,4,1,6,0
894,178,2,5,0,6,0
895,179,3,0,0,7,0
896,179,3,1,0,8,0
897,179,3,2,31,6,0
898,179,3,4,0,2,0
899,179,3,5,0,5,0
900,180,2,0,1,4,0
901,180,2,1,10,4,0
902,180,2,3,17,6,0
903,180,2,4,7,8,0
904,180,2,5,0,8,0
905,181,3,0,0,7,0
906,181,3,1,0,8,0
907,181,3,2,13,7,0
908,181,3,4,5,4,0
909,181,3,5,0,3,0
910,182,2,0,0,9,0
911,182,2,1,0,7,0
912,182,2,3,3,4,0
913,182,2,4,0,6,0
914,182,2,5,0,5,0
915,183,4,0,0,6,0
916,183,4,1,0,8,0
917,183,4,2,3,7,0
918,183,4,3,35,7,0
919,183,4,5,0,2,0
920,184,2,0,0,4,0
921,184,2,1,3,3,0
922,184,2,3,13,7,0
923,184,2,4,0,9,0
924,184,2,5,0,8,0
925,185,3,0,0,8,0
926,185,3,1,0,6,0
927,185,3,2,21,9,0
928,185,3,4,0,2,0
929,185,3,5,0,4,0
930,186,3,0,2,7,0
931,186,3,1,4,4,0
932,186,3,2,17,2,0
933,186,3,4,5,8,0
934,186,3,5,0,7,0
935,187,3,0,0,5,0
936,187,3,1,0,5,0
937,187,3,2,8,4,0
938,187,3,4,0,9,0
939,187,3,5,0,4,0
940,188,4,0,0,9,0
941,188,4,1,3,8,0
942,188,4,2,7,9,0
943,188,4,3,17,3,0
944,188,4,5,0,4,0
945,189,2,0,0,6,0
946,189,2,1,0,6,0
947,189,2,3,43,4,0
948,189,2,4,0,5,0
949,189,2,5,0,6,0
950,190,2,0,0,3,0
951,190,2,1,0,2,0
952,190,2,3,33,6,0
953,190,2,4,1,10,0
954,190,2,5,0,8,0
955,191,3,0,0,6,0
956,191,3,1,0,6,0
957,191,3,2,29,8,0
958,191,3,4,0,0,0
959,191,3,5,0,3,0
960,192,3,0,0,8,0
961,192,3,1,0,7,0
962,192,3,2,18,6,0
963,192,3,4,1,6,0
964,192,3,5,0,7,0
965,193,3,0,0,9,0
966,193,3,1,0,8,0
967,193,3,2,11,9,0
968,193,3,4,0,2,0
969,193,3,5,0,5,0
970,194,2,0,0,10,0
971,194,2,1,0,2,0
972,194,2,3,8,5,0
973,194,2,4,0,5,0
974,194,2,5,0,4,0
975,195,2,0,0,4,0
976,195,2,1,1,6,0
977,195,2,3,14,4,0
978,195,2,4,6,7,0
979,195,2,5,0,7,0
980,196,3,0,0,4,0
981,196,3,1,0,3,0
982,196,3,2,23,5,0
983,196,3,4,3,7,0
984,196,3,5,0,9,0
985,197,3,0,0,7,0
